,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,Pick,Position,NBATOV,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
0,Zion Williamson,2020,Duke,33,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.33799999999999997,3.9,6.2,0.64,22.6,8.9,2.1,2.1,1.8,2.4,2.1,1,PF,2.13,7.15,2.17,1.32,0.79,14.79,32.95
1,Ja Morant,2020,Murray State,33,36.6,8.0,16.1,0.499,6.3,11.3,0.556,1.7,4.8,0.363,6.7,8.2,0.813,24.5,5.7,10.0,1.8,0.8,5.2,1.5,2,PG,2.73,3.53,5.95,1.11,0.45,14.75,32.59
2,RJ Barrett,2020,Duke,38,35.3,8.4,18.5,0.45399999999999996,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,22.6,7.6,4.3,0.9,0.4,3.2,1.8,3,SG,1.74,3.84,2.86,0.56,0.31,12.8,24.28
3,DeAndre Hunter,2020,Virginia,38,32.5,5.4,10.4,0.52,4.2,7.6,0.55,1.2,2.8,0.43799999999999994,3.2,4.1,0.7829999999999999,15.2,5.1,2.0,0.6,0.6,1.4,2.0,4,SF,1.3,3.93,1.25,0.54,0.37,10.18,19.51
4,Darius Garland,2020,Vanderbilt,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,16.2,3.8,2.6,0.8,0.4,3.0,1.4,5,PG,2.23,3.42,4.57,0.59,0.29,9.92,23.52
5,Jarrett Culver,2020,Texas Tech,38,32.5,6.7,14.5,0.461,5.4,10.3,0.526,1.3,4.2,0.304,3.9,5.5,0.7070000000000001,18.5,6.4,3.7,1.5,0.6,2.7,1.9,6,SG,1.67,3.64,2.35,0.93,0.26,12.0,23.46
6,Coby White,2020,UNC,35,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,16.1,3.5,4.1,1.1,0.3,2.7,1.9,7,PG,2.16,2.9,4.31,0.74,0.21,11.18,23.95
7,Jaxson Hayes,2020,Texas,32,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,0.0,2.3,3.1,0.74,10.0,5.0,0.3,0.6,2.2,0.9,3.3,8,PF,1.35,4.34,0.89,0.52,0.93,8.33,19.23
8,Rui Hachimura,2020,Gonzaga,37,30.2,7.4,12.6,0.591,7.0,11.6,0.606,0.4,1.0,0.41700000000000004,4.4,6.0,0.7390000000000001,19.7,6.5,1.5,0.9,0.7,1.8,2.0,9,SF,1.0,3.86,0.9,0.5,0.28,8.32,16.66
9,Cam Reddish,2020,Duke,36,29.7,4.3,12.0,0.35600000000000004,1.8,4.6,0.39399999999999996,2.5,7.4,0.33299999999999996,2.4,3.2,0.772,13.5,3.7,1.9,1.6,0.6,2.7,2.4,10,SG,1.43,2.72,1.47,1.16,0.3,11.23,21.09
10,PJ Washington,2020,Kentucky,35,29.3,5.4,10.4,0.522,4.5,8.2,0.5489999999999999,0.9,2.2,0.423,3.4,5.1,0.6629999999999999,15.2,7.5,1.8,0.8,1.2,2.0,2.5,12,PF,0.85,3.74,0.87,0.49,0.42,7.06,15.56
11,Tyler Herro,2020,Kentucky,37,32.6,5.0,10.9,0.462,3.4,6.3,0.5379999999999999,1.6,4.6,0.355,2.4,2.5,0.935,14.0,4.5,2.5,1.1,0.3,1.6,1.3,13,SG,0.82,2.54,1.48,0.54,0.15,7.64,15.0
12,Romeo Langford,2020,Indiana,32,34.1,5.5,12.3,0.44799999999999995,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,16.5,5.4,2.3,0.8,0.8,2.1,1.9,14,SG,0.71,1.87,0.76,0.39,0.26,5.68,11.01
13,Chuma Okeke,2020,Auburn,38,29.1,4.4,8.9,0.496,3.0,5.2,0.574,1.4,3.7,0.387,1.7,2.4,0.722,12.0,6.8,1.9,1.8,1.2,1.7,1.9,16,SF,0.73,3.29,0.9,0.75,0.27,5.46,13.82
14,Nickeil Alexander-Walker,2020,Virginia Tech,34,34.3,5.6,11.8,0.474,3.9,7.2,0.537,1.7,4.6,0.374,3.3,4.2,0.778,16.2,4.1,4.0,1.9,0.5,2.9,2.3,17,SG,0.82,1.75,1.05,0.62,0.19,5.51,11.62
15,Matisse Thybulle,2020,Washington,36,31.1,3.1,7.5,0.415,1.8,3.3,0.555,1.3,4.2,0.305,1.6,1.9,0.851,9.1,3.1,2.1,3.5,2.3,1.8,2.8,20,SG,0.81,1.76,1.01,0.98,0.75,6.12,14.97
16,Brandon Clarke,2020,Gonzaga,37,28.1,6.9,10.1,0.687,6.8,9.7,0.705,0.1,0.4,0.267,2.9,4.2,0.6940000000000001,16.9,8.6,1.9,1.2,3.2,1.5,2.1,21,PF,0.67,4.27,0.86,0.52,0.87,6.28,16.87
17,Grant Williams,2020,Tennessee,37,31.9,6.3,11.2,0.564,5.9,10.0,0.593,0.4,1.2,0.326,5.8,7.0,0.8190000000000001,18.8,7.5,3.2,1.1,1.5,2.2,3.0,22,PF,0.74,3.43,0.72,0.4,0.56,5.98,14.04
18,Ty Jerome,2020,Virginia,37,33.9,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,0.39899999999999997,1.8,2.5,0.736,13.6,4.2,5.5,1.5,0.0,1.6,1.7,24,PG,0.96,1.55,2.16,0.59,0.1,4.73,11.89
19,Nassir Little,2020,UNC,36,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.26899999999999996,2.1,2.8,0.77,9.8,4.6,0.7,0.5,0.5,1.3,1.6,25,SF,0.59,1.85,0.54,0.34,0.19,4.24,8.86
20,Dylan Windler,2020,Belmont,33,33.2,7.4,13.6,0.54,4.3,6.6,0.659,3.0,7.1,0.429,3.5,4.2,0.847,21.3,10.8,2.5,1.4,0.6,2.1,2.1,26,SG,0.77,3.01,0.92,0.46,0.21,5.64,12.63
21,Mfiondu Kabengele,2020,Florida State,37,21.6,4.4,8.8,0.502,3.8,7.1,0.534,0.6,1.8,0.369,3.7,4.9,0.7609999999999999,13.2,5.9,0.3,0.6,1.5,1.3,2.6,27,PF,0.58,2.37,0.43,0.39,0.48,3.96,10.05
22,Keldon Johnson,2020,Kentucky,37,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,13.5,5.9,1.6,0.8,0.2,1.6,2.2,29,SG,0.55,1.96,0.57,0.34,0.12,3.72,8.31
23,Kevin PorterJr,2020,USC,21,22.1,3.5,7.5,0.47100000000000003,2.2,4.2,0.517,1.3,3.2,0.41200000000000003,1.1,2.2,0.522,9.5,4.0,1.4,0.8,0.5,1.9,2.1,30,SG,0.55,1.77,0.5,0.39,0.19,3.54,8.14
24,Nicolas Claxton,2020,Georgia,32,31.6,4.3,9.3,0.46,3.7,7.3,0.509,0.6,2.0,0.281,3.8,6.0,0.6409999999999999,13.0,8.6,1.8,1.1,2.5,2.1,2.8,31,PF,0.56,2.41,0.54,0.34,0.45,3.35,9.39
25,Carsen Edwards,2020,Purdue,36,35.4,7.7,19.5,0.39399999999999996,3.9,9.0,0.44,3.8,10.6,0.355,5.1,6.1,0.8370000000000001,24.3,3.6,2.9,1.3,0.3,3.1,2.0,33,PG,0.83,1.38,1.34,0.39,0.11,5.27,10.46
26,Bruno Fernando,2020,Maryland,34,30.0,5.1,8.4,0.607,5.0,8.1,0.618,0.1,0.3,0.3,3.3,4.3,0.779,13.6,10.6,2.0,0.6,1.9,2.8,2.7,34,C,0.55,2.52,0.64,0.32,0.42,3.05,9.27
27,Admiral Schofield,2020,Tennessee,37,31.8,6.4,13.6,0.474,4.4,8.8,0.505,2.0,4.8,0.418,1.6,2.3,0.698,16.5,6.1,2.0,0.9,0.5,1.9,2.5,42,SF,0.52,1.89,0.74,0.36,0.15,4.86,9.79
28,Jaylen Nowell,2020,Washington,36,34.4,6.1,12.1,0.502,4.6,8.8,0.525,1.4,3.2,0.44,2.6,3.4,0.779,16.2,5.3,3.1,1.3,0.3,2.9,2.3,43,PG,0.83,1.68,1.59,0.42,0.11,4.6,10.6
29,Bol Bol,2020,Oregon,9,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,21.0,9.6,1.0,0.8,2.7,2.0,1.7,44,C,0.52,2.94,0.47,0.29,0.49,5.2,11.78
30,Isaiah Roby,2020,Nebraska,35,31.2,4.2,9.3,0.45399999999999996,3.4,6.9,0.496,0.8,2.4,0.33299999999999996,2.6,3.8,0.677,11.8,6.9,1.9,1.3,1.9,2.0,3.2,45,SF,0.49,1.96,0.64,0.32,0.33,2.94,8.2
31,Ignas Brazdeikis,2020,Michigan,37,29.6,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,14.8,5.4,0.8,0.7,0.5,1.2,2.1,47,SF,0.42,1.43,0.49,0.27,0.16,3.4,7.13
32,Terance Mann,2020,Florida State,37,31.7,4.0,7.9,0.505,3.2,5.8,0.547,0.8,2.1,0.39,2.6,3.4,0.79,11.4,6.5,2.5,0.7,0.3,1.8,2.2,48,SG,0.48,1.8,0.85,0.31,0.13,2.67,7.44
33,Jalen McDaniels,2020,San Diego State,34,31.0,6.2,13.4,0.466,5.5,11.2,0.495,0.7,2.2,0.32,2.7,3.7,0.732,15.9,8.3,2.1,1.1,0.5,2.4,2.9,52,SF,0.41,1.99,0.65,0.32,0.17,3.52,8.36
34,Jaylen Hands,2020,UCLA,33,31.2,4.8,11.6,0.413,2.8,6.2,0.447,2.0,5.4,0.373,2.6,3.3,0.78,14.2,3.7,6.1,1.3,0.2,3.2,1.2,56,PG,1.02,1.59,3.23,0.49,0.09,3.9,12.39
35,Jordan Bone,2020,Tennessee,37,32.9,5.0,10.8,0.465,3.7,7.0,0.525,1.4,3.8,0.355,2.1,2.5,0.835,13.5,3.2,5.8,0.7,0.1,2.0,1.3,57,PG,0.95,1.6,2.93,0.45,0.09,3.57,11.51
36,Miye Oni,2020,Yale,29,31.0,5.8,13.1,0.441,3.8,7.9,0.48700000000000004,1.9,5.2,0.371,3.7,4.7,0.7929999999999999,17.1,6.3,3.6,0.9,1.3,2.6,2.7,58,SG,0.5,1.71,0.87,0.34,0.31,3.64,8.95
37,Naz Reid,2020,LSU,34,27.2,5.0,10.7,0.46799999999999997,4.2,8.3,0.509,0.8,2.5,0.33299999999999996,2.7,3.8,0.727,13.6,7.2,0.9,0.7,0.7,2.5,3.2,61,C,0.39,1.78,0.41,0.28,0.16,2.68,6.74
38,Tyler Cook,2020,Iowa,33,30.8,5.3,10.3,0.51,5.3,10.2,0.519,0.0,0.2,0.0,3.9,6.1,0.644,14.5,7.6,2.4,0.7,0.5,2.8,2.3,62,PF,0.46,1.98,0.61,0.34,0.21,3.85,8.81
39,Tacko Fall,2020,UCF,33,24.9,4.7,6.2,0.748,4.7,6.2,0.748,0.0,0.0,0.0,1.8,4.9,0.36200000000000004,11.1,7.6,0.5,0.2,2.6,1.8,2.8,63,C,0.41,3.09,0.33,0.35,0.59,2.02,9.06
40,Louis King,2020,Oregon,31,30.4,4.8,11.0,0.435,2.9,6.0,0.47600000000000003,1.9,4.9,0.386,2.0,2.5,0.785,13.5,5.5,1.3,0.9,0.2,2.1,2.5,64,SF,0.4,1.38,0.51,0.33,0.1,3.11,6.8
41,Luguentz Dort,2020,Arizona State,34,31.5,5.1,12.6,0.405,3.5,7.5,0.47200000000000003,1.6,5.2,0.307,4.3,6.1,0.7,16.1,4.3,2.3,1.5,0.2,2.9,3.0,65,SG,0.49,1.7,0.78,0.51,0.11,4.71,9.79
42,Kris Wilkes,2020,UCLA,33,31.7,6.2,14.3,0.433,4.1,8.1,0.508,2.1,6.2,0.337,2.9,4.3,0.6709999999999999,17.4,4.8,1.7,0.6,0.4,1.9,2.2,66,SF,0.38,1.58,0.54,0.33,0.13,4.31,8.4
43,Sagaba Konate,2020,West Virginia,8,24.1,4.6,10.6,0.435,3.5,7.8,0.452,1.1,2.9,0.391,3.3,4.0,0.813,13.6,8.0,1.4,0.8,2.8,2.1,3.3,67,PF,0.46,1.78,0.44,0.3,0.43,2.58,7.58
44,Jaylen Hoard,2020,Wake Forest,31,30.2,4.9,10.7,0.45799999999999996,4.5,9.0,0.502,0.4,1.7,0.226,2.9,4.1,0.7170000000000001,13.1,7.6,1.5,0.6,0.6,2.5,2.2,68,SF,0.37,1.83,0.43,0.29,0.15,2.83,6.97
