Name,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position,Hometown,High School,Height,Weight
Zion Williamson,Duke,ACC,33,33,30.0,9.0,13.2,.680,8.2,11.0,.747,0.7,2.2,.338,3.9,6.2,.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,Forward,"Spartanburg, SC",Spartanburg Day School,6-7,285
RJ Barrett,Duke,ACC,38,38,35.3,8.4,18.5,.454,6.5,12.2,.529,1.9,6.2,.308,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,Forward,"Mississauga, Canada",Monteverde Academy,6-7,202
DeAndre Hunter,Virginia,ACC,38,38,32.5,5.4,10.4,.520,4.2,7.6,.550,1.2,2.8,.438,3.2,4.1,.783,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,Guard,"Philadelphia, PA",Friends' Central School,6-7,225
Darius Garland,Vanderbilt,SEC,5,5,27.8,5.8,10.8,.537,3.6,6.2,.581,2.2,4.6,.478,2.4,3.2,.750,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,Guard,"Nashville, TN",Brentwood Academy,6-2,175
Coby White,UNC,ACC,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,Guard,"Goldsboro, NC",Greenfield School,6-5,185
Jarrett Culver,Texas Tech,Big 12,38,38,32.5,6.7,14.5,.461,5.4,10.3,.526,1.3,4.2,.304,3.9,5.5,.707,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,Guard,"Lubbock, TX",Coronado High School,6-5,195
Bruno Fernando,Maryland,Big Ten,34,33,30.0,5.1,8.4,.607,5.0,8.1,.618,0.1,0.3,.300,3.3,4.3,.779,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,Forward,"Luanda,",IMG Academy,6-10,240
Mfiondu Kabengele,Florida State,ACC,37,0,21.6,4.4,8.8,.502,3.8,7.1,.534,0.6,1.8,.369,3.7,4.9,.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,Forward,"Burlington, Canada",Don Bosco Preparatory High School,6-10,250
Nassir Little,UNC,ACC,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,Forward,"Orange Park, FL",Orlando Christian Prep,6-6,220
Rui Hachimura,Gonzaga,WCC,37,37,30.2,7.4,12.6,.591,7.0,11.6,.606,0.4,1.0,.417,4.4,6.0,.739,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,Forward,"Toyama, Japan",Meisei HIgh School,6-8,230
Bol Bol,Oregon,Pac-12,9,9,29.8,8.2,14.7,.561,6.8,11.9,.570,1.4,2.8,.520,3.1,4.1,.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,Center,"Olathe, KS",Findlay Prep,7-2,235
PJ Washington,Kentucky,SEC,35,33,29.3,5.4,10.4,.522,4.5,8.2,.549,0.9,2.2,.423,3.4,5.1,.663,2.3,5.2,7.5,1.8,0.8,1.2,2.0,2.5,15.2,Forward,"Dallas, TX",Findlay College Prep,6-8,228
Nicolas Claxton,Georgia,SEC,32,32,31.6,4.3,9.3,.460,3.7,7.3,.509,0.6,2.0,.281,3.8,6.0,.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,Forward,"Greenville, SC",Legacy Charter School,6-11,220
Tyler Herro,Kentucky,SEC,37,37,32.6,5.0,10.9,.462,3.4,6.3,.538,1.6,4.6,.355,2.4,2.5,.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,Guard,"Milwaukee, WI",Whitnall HS,6-5,195
Keldon Johnson,Kentucky,SEC,37,36,30.7,4.6,10.1,.461,3.4,6.9,.498,1.2,3.2,.381,2.9,4.2,.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,Guard,"South Hill, VA",Oak Hill Academy,6-6,211
Romeo Langford,Indiana,Big Ten,32,32,34.1,5.5,12.3,.448,4.5,8.4,.530,1.1,3.9,.272,4.4,6.1,.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,Guard,"New Albany, IN",New Albany HS,6-6,215
Dylan Windler,Belmont,OVC,33,33,33.2,7.4,13.6,.540,4.3,6.6,.659,3.0,7.1,.429,3.5,4.2,.847,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,Forward-Guard,"Indianapolis, IN",Perry Meridian High School,6-8,200
Matisse Thybulle,Washington,Pac-12,36,36,31.1,3.1,7.5,.415,1.8,3.3,.555,1.3,4.2,.305,1.6,1.9,.851,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,Guard-Forward,"Issaquah, WA",Eastside Catholic HS,6-5,195
Naz Reid,LSU,SEC,34,32,27.2,5.0,10.7,.468,4.2,8.3,.509,0.8,2.5,.333,2.7,3.8,.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,3.2,13.6,Forward,"Ashbury Park, NJ",Roselle Catholic HS,6-10,250
Ty Jerome,Virginia,ACC,37,37,33.9,4.8,11.1,.435,2.7,5.7,.469,2.1,5.4,.399,1.8,2.5,.736,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.7,13.6,Guard,"New Rochelle, NY",Iona Preparatory School,6-5,195
Carsen Edwards,Purdue,Big Ten,36,36,35.4,7.7,19.5,.394,3.9,9.0,.440,3.8,10.6,.355,5.1,6.1,.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,Guard,"Atascocita, TX",Atascocita High School,6-1,200
Grant Williams,Tennessee,SEC,37,37,31.9,6.3,11.2,.564,5.9,10.0,.593,0.4,1.2,.326,5.8,7.0,.819,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,Forward,"Charlotte, NC",Providence Day School,6-7,236
Terance Mann,Florida State,ACC,37,36,31.7,4.0,7.9,.505,3.2,5.8,.547,0.8,2.1,.390,2.6,3.4,.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,Guard,"Lowell, MA",Tilton School (NH),6-7,215
Chuma Okeke,Auburn,SEC,38,38,29.1,4.4,8.9,.496,3.0,5.2,.574,1.4,3.7,.387,1.7,2.4,.722,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,Forward,"Atlanta, GA",Westlake High School,6-8,230
Tyler Cook,Iowa,Big Ten,33,33,30.8,5.3,10.3,.510,5.3,10.2,.519,0.0,0.2,.000,3.9,6.1,.644,2.2,5.5,7.6,2.4,0.7,0.5,2.8,2.3,14.5,Forward,"St. Louis, MO",Chaminade College Preparatory School,6-9,250
Isaiah Roby,Nebraska,Big Ten,35,35,31.2,4.2,9.3,.454,3.4,6.9,.496,0.8,2.4,.333,2.6,3.8,.677,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,Forward,"Dixon, IL",Dixon High School,6-8,230
Tacko Fall,UCF,AAC,33,33,24.9,4.7,6.2,.748,4.7,6.2,.748,0.0,0.0,,1.8,4.9,.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8,11.1,Center,"Dakar, Senegal",Liberty Christian Prep (FL),7-6,310
Jalen McDaniels,San Diego State,MWC,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,Forward,"Federal Way, WA",Federal Way High School,6-10,195
Louis King,Oregon,Pac-12,31,28,30.4,4.8,11.0,.435,2.9,6.0,.476,1.9,4.9,.386,2.0,2.5,.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,Forward,"Jersey City, NJ",Hudson Catholic HS,6-9,205
Jordan Bone,Tennessee,SEC,37,37,32.9,5.0,10.8,.465,3.7,7.0,.525,1.4,3.8,.355,2.1,2.5,.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,Guard,"Nashville, TN",The Ensworth School,6-3,180
Luguentz Dort,Arizona State,Pac-12,34,33,31.5,5.1,12.6,.405,3.5,7.5,.472,1.6,5.2,.307,4.3,6.1,.700,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0,16.1,Guard,"Montreal, Canada",Athlete Institute Basketball Academy,6-4,215
Kris Wilkes,UCLA,Pac-12,33,33,31.7,6.2,14.3,.433,4.1,8.1,.508,2.1,6.2,.337,2.9,4.3,.671,1.2,3.6,4.8,1.7,0.6,0.4,1.9,2.2,17.4,Guard,"Indianapolis, IN",North Central High School,6-8,215
Jaylen Nowell,Washington,Pac-12,36,36,34.4,6.1,12.1,.502,4.6,8.8,.525,1.4,3.2,.440,2.6,3.4,.779,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,Guard,"Seattle, WA",Garfield High School,6-4,200
Sagaba Konate,West Virginia,Big 12,8,7,24.1,4.6,10.6,.435,3.5,7.8,.452,1.1,2.9,.391,3.3,4.0,.813,1.9,6.1,8.0,1.4,0.8,2.8,2.1,3.3,13.6,Forward,"Bamako, Mali",Kennedy Catholic High School,6-8,250
Jaylen Hands,UCLA,Pac-12,33,33,31.2,4.8,11.6,.413,2.8,6.2,.447,2.0,5.4,.373,2.6,3.3,.780,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,Guard,"San Diego, CA",Foothills Christian,6-3,180
Jaylen Hoard,Wake Forest,ACC,31,30,30.2,4.9,10.7,.458,4.5,9.0,.502,0.4,1.7,.226,2.9,4.1,.717,2.6,5.0,7.6,1.5,0.6,0.6,2.5,2.2,13.1,Forward,"Carnon, France",Wesleyan Christian Academy,6-8,215
Miye Oni,Yale,Ivy,29,28,31.0,5.8,13.1,.441,3.8,7.9,.487,1.9,5.2,.371,3.7,4.7,.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,Guard,"Northridge, CA",Suffield Academy,6-6,210
Admiral Schofield,Tennessee,SEC,37,37,31.8,6.4,13.6,.474,4.4,8.8,.505,2.0,4.8,.418,1.6,2.3,.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,Guard-Forward,"Zion, IL",Zion-Benton TownshiP HS,6-6,241
Ignas Brazdeikis,Michigan,Big Ten,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,Forward,"Mono, Canada",Orangeville Prep,6-7,215
Ja Morant,Murray State,OVC,33,33,36.6,8.0,16.1,.499,6.3,11.3,.556,1.7,4.8,.363,6.7,8.2,.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,Guard,"Dalzell, SC",Crestwood High School,6-3,175
Cam Reddish,Duke,ACC,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,Forward,"Norristown, PA",Westtown School,6-8,218
Nickeil Alexander-Walker,Virginia Tech,ACC,34,34,34.3,5.6,11.8,.474,3.9,7.2,.537,1.7,4.6,.374,3.3,4.2,.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,Guard,"Toronto, Canada",Hamilton Heights Christian Academy,6-5,205
Kevin PorterJr,USC,Pac-12,21,4,22.1,3.5,7.5,.471,2.2,4.2,.517,1.3,3.2,.412,1.1,2.2,.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,Guard,"South Seattle, WA",Rainier Beach HS,6-6,218
Brandon Clarke,Gonzaga,WCC,37,36,28.1,6.9,10.1,.687,6.8,9.7,.705,0.1,0.4,.267,2.9,4.2,.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,Forward-Guard,"Phoenix, AZ",Desert Vista HS,6-8,215
Jaxson Hayes,Texas,Big 12,32,21,23.3,3.8,5.3,.728,3.8,5.3,.728,0.0,0.0,,2.3,3.1,.740,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,Forward,"Loveland, OH",Cincinnati Moeller HS,6-11,220
Jalen McDaniels,San Diego State,MWC,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,Forward,"Federal Way, WA",Federal Way High School,6-10,195
